Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     40.77     0.00    18000     0.00     0.00  MES::element::calculateMatrices()
  0.00     40.77     0.00    18000     0.00     0.00  MES::element::calculateBoundaryCondition()
  0.00     40.77     0.00     9600     0.00     0.00  MES::IntegrationPoint::getForSide(int, int, int)
  0.00     40.77     0.00     9600     0.00     0.00  MES::IntegrationPoint::getWeightForSide(int, int)
  0.00     40.77     0.00     4800     0.00     0.00  __gnu_cxx::__promote_2<decltype (((__gnu_cxx::__promote_2<double, std::__is_integer<double>::__value>::__type)(0))+((__gnu_cxx::__promote_2<int, std::__is_integer<int>::__value>::__type)(0))), std::__is_integer<decltype (((__gnu_cxx::__promote_2<double, std::__is_integer<double>::__value>::__type)(0))+((__gnu_cxx::__promote_2<int, std::__is_integer<int>::__value>::__type)(0)))>::__value>::__type std::pow<double, int>(double, int)
  0.00     40.77     0.00     4688     0.00     0.00  std::vector<MES::node, std::allocator<MES::node> >::size() const
  0.00     40.77     0.00     4681     0.00     0.00  std::vector<MES::node, std::allocator<MES::node> >::operator[](unsigned long)
  0.00     40.77     0.00     3601     0.00     0.00  std::vector<MES::element, std::allocator<MES::element> >::size() const
  0.00     40.77     0.00     3600     0.00     0.00  std::vector<MES::element, std::allocator<MES::element> >::operator[](unsigned long)
  0.00     40.77     0.00     1861     0.00     0.00  operator new(unsigned long, void*)
  0.00     40.77     0.00      961     0.00     0.00  MES::node::node()
  0.00     40.77     0.00      961     0.00     0.00  void std::_Construct<MES::node>(MES::node*)
  0.00     40.77     0.00      920     0.00     0.00  std::vector<MES::element, std::allocator<MES::element> >::end()
  0.00     40.77     0.00      900     0.00     0.00  MES::element::element(MES::simulationSharedData&)
  0.00     40.77     0.00      900     0.00     0.00  std::vector<MES::element, std::allocator<MES::element> >::end() const
  0.00     40.77     0.00      900     0.00     0.00  std::vector<MES::element, std::allocator<MES::element> >::begin() const
  0.00     40.77     0.00      900     0.00     0.00  std::vector<MES::element, std::allocator<MES::element> >::empty() const
  0.00     40.77     0.00      900     0.00     0.00  MES::element& std::vector<MES::element, std::allocator<MES::element> >::emplace_back<MES::simulationSharedData&>(MES::simulationSharedData&)
  0.00     40.77     0.00      900     0.00     0.00  std::vector<MES::element, std::allocator<MES::element> >::back()
  0.00     40.77     0.00      900     0.00     0.00  void std::destroy_at<MES::element>(MES::element*)
  0.00     40.77     0.00      900     0.00     0.00  _ZSt12construct_atIN3MES7elementEJRNS0_20simulationSharedDataEEQaant20is_unbounded_array_vIT_ErqXgsnwcvPvLi0E_S4_pispcl7declvalIT0_EEEEEPS4_S7_DpOS6_
  0.00     40.77     0.00      900     0.00     0.00  void std::_Destroy<MES::element>(MES::element*)
  0.00     40.77     0.00      219     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  0.00     40.77     0.00      209     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     40.77     0.00      204     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const
  0.00     40.77     0.00      191     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const
  0.00     40.77     0.00      185     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00     40.77     0.00      182     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::starts_with(char const*) const
  0.00     40.77     0.00      182     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::starts_with(std::basic_string_view<char, std::char_traits<char> >) const
  0.00     40.77     0.00      182     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::starts_with(char const*) const
  0.00     40.77     0.00      182     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::data() const
  0.00     40.77     0.00      182     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::basic_string_view(char const*)
  0.00     40.77     0.00      182     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::basic_string_view(char const*, unsigned long)
  0.00     40.77     0.00      139     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00     40.77     0.00       20     0.00     0.00  MES::grid::clearGlobalMatrices()
  0.00     40.77     0.00       20     0.00     0.00  MES::Matrix::operator=(MES::Matrix const&)
  0.00     40.77     0.00       20     0.00     0.01  MES::operator-(MES::Matrix const&, MES::Matrix const&)
  0.00     40.77     0.00       20     0.00     0.00  MES::Matrix::max() const
  0.00     40.77     0.00       20     0.00     0.00  MES::Matrix::min() const
  0.00     40.77     0.00       20     0.00     0.00  std::vector<MES::element, std::allocator<MES::element> >::begin()
  0.00     40.77     0.00       17     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const
  0.00     40.77     0.00       17     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const
  0.00     40.77     0.00       17     0.00     0.00  std::__ptr_traits_ptr_to<char const*, char const, false>::pointer_to(char const&)
  0.00     40.77     0.00       13     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()
  0.00     40.77     0.00       12     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator()
  0.00     40.77     0.00        9     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::length() const
  0.00     40.77     0.00        9     0.00     0.00  std::char_traits<char>::assign(char&, char const&)
  0.00     40.77     0.00        9     0.00     0.00  std::__ptr_traits_ptr_to<char*, char, false>::pointer_to(char&)
  0.00     40.77     0.00        9     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::~_Alloc_hider()
  0.00     40.77     0.00        9     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data()
  0.00     40.77     0.00        9     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_length(unsigned long)
  0.00     40.77     0.00        9     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string()
  0.00     40.77     0.00        8     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_set_length(unsigned long)
  0.00     40.77     0.00        8     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy(char*, char const*, unsigned long)
  0.00     40.77     0.00        8     0.00     0.00  std::is_constant_evaluated()
  0.00     40.77     0.00        7     0.00     0.00  std::char_traits<char>::copy(char*, char const*, unsigned long)
  0.00     40.77     0.00        6     0.00     0.00  std::__new_allocator<char>::deallocate(char*, unsigned long)
  0.00     40.77     0.00        6     0.00     0.00  std::__new_allocator<char>::allocate(unsigned long, void const*)
  0.00     40.77     0.00        6     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_destroy(unsigned long)
  0.00     40.77     0.00        6     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_capacity(unsigned long)
  0.00     40.77     0.00        6     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_allocate(std::allocator<char>&, unsigned long)
  0.00     40.77     0.00        6     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::_Alloc_hider(char*, std::allocator<char>&&)
  0.00     40.77     0.00        6     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data(char*)
  0.00     40.77     0.00        6     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)
  0.00     40.77     0.00        5     0.00     0.00  _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC2EvQ26is_default_constructible_vIT1_E
  0.00     40.77     0.00        4     0.00     0.00  std::_Vector_base<MES::node, std::allocator<MES::node> >::_M_get_Tp_allocator() const
  0.00     40.77     0.00        4     0.00     0.00  std::vector<MES::node, std::allocator<MES::node> >::max_size() const
  0.00     40.77     0.00        4     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::capacity() const
  0.00     40.77     0.00        4     0.00     0.00  std::vector<MES::node, std::allocator<MES::node> >::_S_max_size(std::allocator<MES::node> const&)
  0.00     40.77     0.00        3     0.00     0.00  std::_Vector_base<MES::node, std::allocator<MES::node> >::_M_get_Tp_allocator()
  0.00     40.77     0.00        3     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::_Alloc_hider(char*, std::allocator<char> const&)
  0.00     40.77     0.00        3     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00     40.77     0.00        3     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy_chars<char const*>(char*, char const*, char const*)
  0.00     40.77     0.00        3     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00     40.77     0.00        3     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::_Guard(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00     40.77     0.00        3     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::~_Guard()
  0.00     40.77     0.00        2     0.00     0.00  std::_Vector_base<MES::element, std::allocator<MES::element> >::_M_deallocate(MES::element*, unsigned long)
  0.00     40.77     0.00        2     0.00     0.00  std::_Vector_base<MES::element, std::allocator<MES::element> >::_M_get_Tp_allocator()
  0.00     40.77     0.00        1     0.00     0.00  MES::parseTextFile(MES::grid&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00     40.77     0.00        1     0.00     0.00  MES::paraOutputWriter::paraOutputWriter()
  0.00     40.77     0.00        1     0.00     0.00  MES::paraOutputWriter::~paraOutputWriter()
  0.00     40.77     0.00        1     0.00     0.00  MES::simulationSharedData::simulationSharedData()
  0.00     40.77     0.00        1     0.00     0.00  MES::simulationSharedData::~simulationSharedData()
  0.00     40.77     0.00        1     0.00     0.00  MES::grid::grid()
  0.00     40.77     0.00        1     0.00     0.00  MES::grid::~grid()
  0.00     40.77     0.00        1     0.00     0.00  int __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)
  0.00     40.77     0.00        1     0.00     0.00  std::_Vector_base<MES::element, std::allocator<MES::element> >::_M_get_Tp_allocator() const
  0.00     40.77     0.00        1     0.00     0.00  std::vector<MES::node, std::allocator<MES::node> >::_M_check_len(unsigned long, char const*) const
  0.00     40.77     0.00        1     0.00     0.00  std::vector<MES::element, std::allocator<MES::element> >::capacity() const
  0.00     40.77     0.00        1     0.00     0.00  std::vector<MES::element, std::allocator<MES::element> >::max_size() const
  0.00     40.77     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator() const
  0.00     40.77     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::c_str() const
